stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\Documents\Mini2\game\allegro5.cfg r
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.20049] removed dtor for bitmap 00D24160
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.20166] opening resources/images/UI/return.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20189] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20190] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20191] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20192] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20193] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20194] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20195] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20196] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20197] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20198] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20199] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.20200] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.20201] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20218] added dtor for bitmap 00D02C50, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.20437] opening resources/images/UI/return_CL.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20459] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20460] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20461] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20462] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20463] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20464] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20465] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20466] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20467] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20467] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20468] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.20470] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.20471] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20505] added dtor for bitmap 00D02DA0, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.20719] opening resources/images/stage-select/dirt.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20737] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20738] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20739] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20740] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20741] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20742] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20743] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20744] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20745] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20746] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20747] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.20748] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.20749] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20771] added dtor for bitmap 00D009A8, func 61CC1C7B
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20836] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20837] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20838] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20839] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20840] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20841] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20842] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20842] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20843] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20844] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20845] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.20846] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.20847] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.20877] added dtor for bitmap 00D01860, func 61CC1C7B
dtor     D               dtor.c:227  _al_unregister_destructor        [   0.20880] removed dtor for bitmap 00D009A8
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.20973] opening resources/images/stage-select/dirt.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20989] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20990] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20991] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20992] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20993] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20994] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20995] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20996] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.20997] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.20998] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.20999] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.21000] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.21001] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.21018] added dtor for bitmap 00D00A90, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.21145] opening resources/images/stage-select/floor.png rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21163] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21165] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21166] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21167] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21168] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21168] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21169] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21174] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.21175] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.21176] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.21177] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.21178] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.21179] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.21215] added dtor for bitmap 00D036F8, func 61CC1C7B
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.29190] opening resources/fonts/NanumSquare_acR.ttf rb
font     D                ttf.c:937  al_load_ttf_font_stretch_f       [   0.29242] Font resources/fonts/NanumSquare_acR.ttf loaded with pixel size 0 x 48.
font     D                ttf.c:939  al_load_ttf_font_stretch_f       [   0.29244]     ascent=41.0, descent=-12.0, height=53.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.29245] added dtor for ttf_font 00CFE020, func 61DB9898
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   0.30165] Loading sample resources/audios/select.ogg.
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.30168] opening resources/audios/select.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.30278] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.30279] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.30280] rate 44100
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.30282] total_samples 8599552
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   0.30283] total_size 34398208
dtor     D               dtor.c:196  _al_register_destructor          [   0.92633] added dtor for sample 00DCED68, func 61DC2689
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.92731] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.92733]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.92734]  0.000000 0.707107
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92840] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92841] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92842] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92843] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92845] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92846] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92847] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92848] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.92849] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.92850] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.92851] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.92852] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.92853] Chose bitmap format 9
font     D                ttf.c:238  alloc_glyph_region               [   0.92926] Glyph 1518: 42x46 (44x48)
font     D                ttf.c:282  alloc_glyph_region               [   0.92928] Locking glyph region: 00D84FD8 0 0 44 48
font     D                ttf.c:166  unlock_current_page              [   0.93712] Unlocking page: 00D84FD8
font     D                ttf.c:238  alloc_glyph_region               [   0.93722] Glyph 1204: 43x44 (44x44)
font     D                ttf.c:282  alloc_glyph_region               [   0.93724] Locking glyph region: 00D84FD8 44 0 44 44
font     D                ttf.c:166  unlock_current_page              [   0.93745] Unlocking page: 00D84FD8
font     D                ttf.c:238  alloc_glyph_region               [   0.93759] Glyph 2479: 37x46 (40x48)
font     D                ttf.c:282  alloc_glyph_region               [   0.93760] Locking glyph region: 00D84FD8 88 0 40 48
font     D                ttf.c:166  unlock_current_page              [   0.93769] Unlocking page: 00D84FD8
font     D                ttf.c:440  cache_glyph                      [   0.93828] Glyph 1 has zero size.
font     D                ttf.c:238  alloc_glyph_region               [   0.93834] Glyph 3242: 43x43 (44x44)
font     D                ttf.c:282  alloc_glyph_region               [   0.93835] Locking glyph region: 00D84FD8 128 0 44 44
font     D                ttf.c:166  unlock_current_page              [   0.93845] Unlocking page: 00D84FD8
font     D                ttf.c:238  alloc_glyph_region               [   0.93850] Glyph 3167: 43x36 (44x36)
font     D                ttf.c:282  alloc_glyph_region               [   0.93851] Locking glyph region: 00D84FD8 172 0 44 36
font     D                ttf.c:166  unlock_current_page              [   0.93858] Unlocking page: 00D84FD8
font     D                ttf.c:238  alloc_glyph_region               [   0.93869] Glyph 3114: 39x46 (40x48)
font     D                ttf.c:282  alloc_glyph_region               [   0.93871] Locking glyph region: 00D84FD8 216 0 40 48
font     D                ttf.c:166  unlock_current_page              [   0.93876] Unlocking page: 00D84FD8
font     D                ttf.c:238  alloc_glyph_region               [   0.93882] Glyph 2333: 43x37 (44x40)
font     D                ttf.c:282  alloc_glyph_region               [   0.93883] Locking glyph region: 00D84FD8 256 0 44 40
font     D                ttf.c:166  unlock_current_page              [   0.93888] Unlocking page: 00D84FD8
font     D                ttf.c:238  alloc_glyph_region               [   0.93892] Glyph 2: 7x39 (8x40)
font     D                ttf.c:282  alloc_glyph_region               [   0.93893] Locking glyph region: 00D84FD8 300 0 8 40
font     D                ttf.c:166  unlock_current_page              [   0.93896] Unlocking page: 00D84FD8
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94011] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94013] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94306] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94309] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94342] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94343] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94356] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94358] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94370] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94372] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94387] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94389] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94402] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94403] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94416] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94418] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94441] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94443] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94453] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94454] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.94464] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.94466] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.49899] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.49903] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.50703] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.50707] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.51509] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.51513] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.52308] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.52312] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.53144] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.53148] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.53849] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.53852] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.54669] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.54672] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.55481] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.55484] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.56280] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.56284] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.57191] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.57194] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.57898] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.57901] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.58756] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.58760] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.59555] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.59558] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.60264] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.60267] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.61167] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.61170] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.61978] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.61981] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.62774] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.62778] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.63499] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.63502] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.64308] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.64311] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.65122] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.65125] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.93825] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.93828] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.94732] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.94735] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.95445] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.95449] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.96359] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.96361] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.97104] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.97108] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.97879] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.97882] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.98689] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.98692] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  14.99576] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  14.99579] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.00357] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.00360] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.01005] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.01008] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.02010] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.02014] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.02714] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.02718] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.03514] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.03520] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.05114] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.05118] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.06727] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.06730] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.07541] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.07545] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.08333] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.08335] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.09148] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.09152] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.09953] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.09956] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.10676] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.10679] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.13998] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.14002] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  15.19422] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  15.19425] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45526] removed dtor for bitmap 00D036F8
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45589] removed dtor for bitmap 00D01860
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45650] removed dtor for bitmap 00D02DA0
dtor     D               dtor.c:227  _al_unregister_destructor        [  15.45704] removed dtor for bitmap 00D02C50
